UDP -> [192.0.2.1]:514 <46>1 - example - - - - ﻿000+00:00:00.000 I 0: [syslog] Log level set to DEBUG
UDP -> [192.0.2.1]:514 <134>1 - example - - - - ﻿000+00:00:00.000 I 1: [setup] Application started
UDP -> [192.0.2.1]:514 <135>1 - example - - - - ﻿000+00:00:00.000 D 2: [loop] Hello 0 World!
UDP -> [192.0.2.1]:514 <135>1 - example - - - - ﻿000+00:00:01.000 D 3: [loop] Hello 1 World!
UDP -> [192.0.2.1]:514 <135>1 - example - - - - ﻿000+00:00:02.000 D 4: [loop] Hello 2 World!
UDP -> [192.0.2.1]:514 <135>1 2020-01-01T00:00:00.000000Z example - - - - ﻿000+00:00:03.000 D 5: [loop] Hello 3 World!
UDP -> [192.0.2.1]:514 <135>1 2020-01-01T00:00:01.000000Z example - - - - ﻿000+00:00:04.000 D 6: [loop] Hello 4 World!
UDP -> [192.0.2.1]:514 <135>1 2020-01-01T00:00:02.000000Z example - - - - ﻿000+00:00:05.000 D 7: [loop] Hello 5 World!
UDP -> [192.0.2.1]:514 <135>1 2020-01-01T00:00:03.000000Z example - - - - ﻿000+00:00:06.000 D 8: [loop] Hello 6 World!
UDP -> [192.0.2.1]:514 <135>1 2020-01-01T00:00:04.000000Z example - - - - ﻿000+00:00:07.000 D 9: [loop] Hello 7 World!
UDP -> [192.0.2.1]:514 <135>1 2020-01-01T00:00:05.000000Z example - - - - ﻿000+00:00:08.000 D 10: [loop] Hello 8 World!
UDP -> [192.0.2.1]:514 <135>1 2020-01-01T00:00:06.000000Z example - - - - ﻿000+00:00:09.000 D 11: [loop] Hello 9 World!
UDP -> [192.0.2.1]:514 <135>1 2020-01-01T00:00:07.000000Z example - - - - ﻿000+00:00:10.000 D 12: [loop] Hello 10 World!
